Spesa,5,Tessera associazione,1-04-2026
Ricavo,20,Nonni per pasqua,3-04-2026
Spesa,15,Cena la zona,4-04-2026
Ricavo,10,Nonni per domenica,12-04-2026
Ricavo,30,Giulio per buono amazon,13-04-2026
Spesa,5,Caffe,15-04-2026
Spesa,10,Compleanno Cristina,17-04-2026
Spesa,25,Evento zona,18-04-2026
Ricavo,10,Nonni per domenica,19-04-2026
Ricavo,20,Zio per giardino,19-04-2026    
Spesa,5,Caffe,23-04-2026
Spesa,5,Uscita a vernole,25-04-2026
Spesa,5,Uscita a vernole,26-04-2026
Ricavo,25,mamma per palestra,30-04-2026
