Spesa,10.00,parrucchiere,01-10-2025
Spesa,10.00,benzina macchina,03-10-2025
Spesa,20.00,compleanno Edoardo,04-10-2025
Ricavo,10.00,nonni,05-10-2025
Spesa,10.00,pizza,09-10-2025
Spesa,15.00,poke,11-10-2025
Ricavo,10.00,nonni,12-10-2025
Ricavo,5.00,nonni,13-10-2025
Spesa,10.00,gelati,18-10-2025
Spesa,20.00,compleanno chiara,18-10-2025
Spesa,5.00,kfc,19-10-2025
Ricavo,10.00,nonni,19-10-2025
Spesa,10.00,parrucchiere,22-10-2025
Ricavo,10.00,nonni,26-10-2025
Spesa,20.00,regalo annalisa e emanuele,26-10-2025
Spesa,5.00,uscita a vernole,31-10-2025
