Ricavo,10.00,nonna per domenica,03-08-2025
Ricavo,20.00,nonno per campagna,06-08-2025
Spesa,10.00,uscita san foca,06-08-2025
Spesa,10.00,benzina,06-08-2025
Spesa,10.00,padel,07-08-2025
Spesa,5.00,colazione offerta,08-08-2025
Ricavo,160.00,lavoro,08-08-2025
Spesa,10.00,parrucchiere,08-08-2025
Spesa,5.00,.p.,08-08-2025
Spesa,10.00,uscita a sanfoca,09-08-2025
Spesa,10.00,alcol,10-08-2025
Spesa,5.00,colazione,10-08-2025
Spesa,5.00,spiaggia,13-08-2025
Spesa,20.00,diciottesimo giulia,13-08-2025
Ricavo,20.00,nonni,15-08-2025
Spesa,20.00,spesa ferragosto,15-08-2025
Spesa,5.00,.p.,16-08-2025
Spesa,15.00,uscita a san foca,17-08-2025
Ricavo,15.00,lavoro,18-08-2025
Spesa,10.00,uscita a vernole,18-08-2025
Spesa,5.00,benzina,19-08-2025
Spesa,15.00,blubay,23-08-2025
Spesa,20.00,diciottesimo Parisi,24-08-2025
Ricavo,10.00,nonni,24-08-2025
Spesa,5.00,calcetto,25-08-2025
Spesa,5.00,benzina vespa,26-08-2025
Ricavo,5.00,nonni,27-08-2025
Spesa,5.00,fuochi entony,27-08-2025
Spesa,5.00,uscita a vernole,27-08-2025
Spesa,50.00,diciottesimo entony,28-08-2025
Spesa,5.00,benzina,31-08-2025
Ricavo,10.00,nonni,31-08-2025
