Ricavo,10.00,nonni per domenica,01-02-2026
Spesa,5.00,casino,01-02-2026
Spesa,15.00,parrucchiere,05-02-2026
Spesa,15.00,sisal,07-02-2026
Spesa,20.00,diciottesimo mattia,07-02-2026
Ricavo,10.00,nonni per domenica,08-02-2026
Ricavo,10.00,zia ninneta per compleanno,08-02-2026
Ricavo,10.00,nonni,10-02-2026
Ricavo,5.00,nonni,13-02-2026
Spesa,10.00,pizze,14-02-2026
Spesa,5.00,casino,15-02-2026
Spesa,5.00,kebab,15-02-2026
Spesa,10.00,benzina macchina,15-02-2026
Ricavo,10.00,nonni per domenica,16-02-2026
Ricavo,5.00,mamma,17-02-2026
Spesa,5.00,caffe,20-02-2026
Ricavo,10.00,nonni per domenica,22-02-2026
Spesa,5.00,calcetto,25-02-2026
Spesa,10.00,cena,25-02-2026
Ricavo,25.00,mamma per palestra,26-02-2026
Spesa,10.00,panini,28-02-2026
Spesa,15.00,covo,28-02-2026
