Spesa,10.00,uscita a vernole,01-05-2026
Spesa,5.00,snai,03-05-2026
Ricavo,10.00,nonni per domenica,03-05-2026
Spesa,20.00,uscita a vernole,03-05-2026
Spesa,15.00,poke,05-05-2026
Spesa,5.00,calcetto,06-05-2026
Spesa,5.00,uscita a vernole,10-05-2026
Spesa,10.00,compleanno Matteo,15-05-2026
Ricavo,10.00,nonni per domenica,17-05-2026
Spesa,10.00,uscita a vernole,17-05-2026
Ricavo,50.00,snai su carta postepay,21-05-2026
Spesa,10.00,benzina macchina,24-05-2026
Ricavo,25.00,mamma per palestra,24-05-2026
Ricavo,10.00,nonni per domenica,24-05-2026
Spesa,10.00,uscita a vernole,24-05-2026
Spesa,10.00,prodotto capelli,28-05-2026
Ricavo,20.00,zio per lavoro,30-05-2026
Ricavo,10.00,nonni per domenica,31-05-2026
Spesa,20.00,benzina macchina,31-05-2026
Spesa,5.00,caffe,31-05-2026
