Spesa,10.0,cena,01-03-2026
Spesa,5.0,casino,01-03-2026
Ricavo,10.0,nonni per domenica,01-03-2026
Spesa,5.0,calcetto,04-03-2026
Ricavo,10.0,nonni per domenica,08-03-2026
Spesa,30.0,100 giorni,10-03-2026
Spesa,5.0,cena,15-03-2026
Ricavo,10.0,nonni per domenica,15-03-2026
Ricavo,25.0,mamma per palestra,21-03-2026
Ricavo,10.0,nonni per domenica,22-03-2026
Spesa,10.0,uscita vernole,22-03-2026
Spesa,15.0,parrucchiere,27-03-2026
Ricavo,10.0,nonni per domenica,29-03-2026
Spesa,25.0,sushi,29-03-2026
Spesa,10.0,benzina,29-03-2026
